A0A947F4Q6	A0A947F4Q6
A0A947F4Q6	A0A3D0H762
A0A947F4Q6	A0A7Z9WDG9
A0A947F4Q6	A0A937R250
A0A947F4Q6	A0A973IP29
A0A947F4Q6	A0A7V4PKD6
A0A947F4Q6	A0A8J7X1T8
A0A947F4Q6	A0A7C0Z7B3
A0A947F4Q6	A0A3N5T0U0
A0A947F4Q6	A0A352PX99
A0A947F4Q6	A0A532UDI9
A0A948DAB1	A0A948DAB1
A0A948PYT9	A0A948PYT9
A0A948PYT9	A0A9E2PWQ9
A0A948PYT9	A0A946QHN3
A0A948PYT9	A0A848ZFU8
A0A948PYT9	A0A929HEN9
A0A948PYT9	A0A7V7DEU0
A0A948PYT9	A0A967REI4
A0A948PYT9	A0A9E6CFH8
A0A948PYT9	A0A7Y2ZXG1
A0A948PYT9	A0A9E2PA93
A0A949AZG6	A0A949AZG6
A0A949AZG6	A0A937MQR4
A0A949AZG6	A0A937QX88
A0A949AZG6	B8FDV8
A0A949AZG6	A0A929F6W7
A0A949AZG6	A0A7V7DS82
A0A949AZG6	A0A8J6MXW1
A0A949AZG6	A0A8J6NYK1
A0A949AZG6	A0A929ESD0
A0A949AZG6	A0A967I353
A0A949AZG6	A0A7X1LAU5
A0A949AZG6	A0A929GUI2
A0A949AZG6	A0A9E2P8X0
A0A949AZG6	A0A9E5YH05
A0A949AZG6	A0A929IDG9
A0A949DRY1	A0A949DRY1
A0A9X4RLF0	A0A9X4RLF0
A0A9X4RLF0	A0A947Y162
A0AA42Y6S3	A0AA42Y6S3
A0AA42Y9C4	A0AA42Y9C4
A0AA42Y9C4	A0AA42Y9A7
A0AA42Y9C4	A0AA43AC94
A0AA42YC13	A0AA42YC13
A0AAJ6G8Z8	A0AAJ6G8Z8
A0AAJ6G8Z8	A0AAJ6G8K7
A0AAJ6KEP0	A0AAJ6KEP0
A0A538U0F2	A0A538U0F2
A0A538U0F2	A0A956LEF8
A0A538U0F2	A0A9D6SCJ8
A0A538U0F2	A0A971KUY0
A0A538U0F2	A0A2G2MXQ9
A0A538U0F2	A0A521UNJ5
A0A538U0F2	D1CEL5
A0A538U0F2	A0A6P2B1Q4
A0A538U0F2	A0A3M1YH43
A0A538U0F2	A0A521T2Y3
A0A538U0F2	A0A6N6KZZ5
A0A538U0F2	A0A972J3K9
A0A538U0F2	A0A7C3NEV5
A0A538U0F2	A0A928S851
A0A538U0F2	A0A3M1ITM4
A0A538U0F2	A0A957XK06
A0A538U0F2	A0A957Y8P7
A0A538U0F2	A0A958BU47
A0A538U0F2	A0A969HFC3
A0A538U0F2	A0A538SGY6
A0A538U0F2	A0A832MKZ1
A0A538U0F2	A0A971ALL4
A0A538U0F2	A0A8T5Y5T3
A0A538U0F2	A0A932ELY0
A0A538U0F2	A0A953UGJ4
A0A538U0F2	A0A1Z9STR5
A0A538U0F2	A0A2D7ILR5
A0A538U0F2	A0A2E3DQC7
